nomination_id,movie_id,year_film,year_ceremony,ceremony,canon_category,name,winner
1,737,2019,2020,92,WRITING (Original Screenplay),Rian Johnson,False
2,43,2020,2021,93,INTERNATIONAL FEATURE FILM,Denmark,True
3,1321,2020,2021,93,FILM EDITING,Mikkel E. G. Nielsen,True
4,58,2020,2021,93,DOCUMENTARY (Feature),Garrett Bradley/Lauren Domino/Kellen Quinn,False
5,795,2020,2021,93,DOCUMENTARY (Feature),Maite Alberdi/Marcela Santibáñez,False
6,977,2020,2021,93,DOCUMENTARY (Feature),Alexander Nanau/Bianca Oana,False
7,43,2020,2021,93,DIRECTING,Thomas Vinterberg,False
8,1582,2020,2021,93,COSTUME DESIGN,Ann Roth,True
9,961,2020,2021,93,ANIMATED FEATURE FILM,Tomm Moore/Ross Stewart/Paul Young/Stéphan Roelants,False
10,1462,2020,2021,93,ANIMATED FEATURE FILM,Dan Scanlon/Kori Rae,False
11,1582,2020,2021,93,ACTRESS IN A LEADING ROLE,Viola Davis,False
12,1321,2020,2021,93,ACTOR IN A SUPPORTING ROLE,Paul Raci,False
13,1582,2020,2021,93,ACTOR IN A LEADING ROLE,Chadwick Boseman,False
14,1321,2020,2021,93,ACTOR IN A LEADING ROLE,Riz Ahmed,False
15,566,2019,2020,92,WRITING (Original Screenplay),Bong Joon Ho/Han Jin Won,True
16,783,2019,2020,92,WRITING (Original Screenplay),Noah Baumbach,False
17,977,2020,2021,93,INTERNATIONAL FEATURE FILM,Romania,False
18,1518,2019,2020,92,WRITING (Adapted Screenplay),Greta Gerwig,False
19,534,2019,2020,92,WRITING (Adapted Screenplay),Taika Waititi,True
20,986,2019,2020,92,WRITING (Adapted Screenplay),Steven Zaillian,False
21,986,2019,2020,92,VISUAL EFFECTS,Pablo Helman/Leandro Estebecorena/Nelson Sepulveda-Fauser/Stephane Grabli,False
22,1203,2019,2020,92,VISUAL EFFECTS,Dan DeLeeuw/Russell Earl/Matt Aitken/Dan Sudick,False
23,1161,2019,2020,92,SOUND MIXING,Paul Massey/David Giammarco/Steven A. Morrow,False
24,1161,2019,2020,92,SOUND EDITING,Donald Sylvester,True
25,566,2019,2020,92,ART DIRECTION,Lee Ha Jun/Cho Won Woo,False
26,534,2019,2020,92,ART DIRECTION,Ra Vincent/Nora Sopková,False
27,986,2019,2020,92,ART DIRECTION,Bob Shaw/Regina Graves,False
28,566,2019,2020,92,BEST PICTURE,Kwak Sin Ae/Bong Joon Ho,True
29,783,2019,2020,92,BEST PICTURE,Noah Baumbach/David Heyman,False
30,1518,2019,2020,92,BEST PICTURE,Amy Pascal,False
31,534,2019,2020,92,BEST PICTURE,Carthew Neal/Taika Waititi/Chelsea Winstanley,False
32,849,2021,2022,94,ACTRESS IN A LEADING ROLE,Penélope Cruz,False
33,1366,2021,2022,94,COSTUME DESIGN,Jenny Beavan,True
34,3,2021,2022,94,CINEMATOGRAPHY,Janusz Kaminski,False
35,480,2021,2022,94,CINEMATOGRAPHY,Bruno Delbonnel,False
36,1082,2021,2022,94,CINEMATOGRAPHY,Ari Wegner,False
37,247,2021,2022,94,ANIMATED FEATURE FILM,Don Hall/Carlos López Estrada/Osnat Shurer/Peter Del Vecho,False
38,1367,2021,2022,94,ANIMATED FEATURE FILM,Mike Rianda/Phil Lord/Christopher Miller/Kurt Albrecht,False
39,1319,2021,2022,94,ANIMATED FEATURE FILM,Enrico Casarosa/Andrea Warren,False
40,56,2021,2022,94,ANIMATED FEATURE FILM,Jonas Poher Rasmussen/Monica Hellström/Signe Byrge Sørensen/Charlotte De La Gournerie,False
41,1242,2021,2022,94,ANIMATED FEATURE FILM,Jared Bush/Byron Howard/Yvett Merino/Clark Spencer,True
42,167,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Aunjanue Ellis,False
43,1082,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Kirsten Dunst,False
44,369,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Judi Dench,False
45,3,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Ariana DeBose,True
46,1330,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Jessie Buckley,False
47,986,2019,2020,92,BEST PICTURE,Martin Scorsese/Robert De Niro/Jane Rosenthal/Emma Tillinger Koskoff,False
48,1330,2021,2022,94,ACTRESS IN A LEADING ROLE,Olivia Colman,False
49,1082,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Kodi Smit-McPhee,False
50,1082,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Jesse Plemons,False
51,1428,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Troy Kotsur,True
52,369,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Ciarán Hinds,False
53,480,2021,2022,94,ACTOR IN A LEADING ROLE,Denzel Washington,False
54,167,2021,2022,94,ACTOR IN A LEADING ROLE,Will Smith,True
55,1082,2021,2022,94,ACTOR IN A LEADING ROLE,Benedict Cumberbatch,False
56,1321,2020,2021,93,WRITING (Original Screenplay),Darius Marder/Abraham Marder/Derek Cianfrance,False
57,1083,2020,2021,93,VISUAL EFFECTS,Matt Sloan/Genevieve Camilleri/Matt Everitt/Brian Cox,False
58,1321,2020,2021,93,SOUND MIXING,Nicolas Becker/Jaime Baksht/Michellee Couttolenc/Carlos Cortés/Phillip Bladh,True
59,1582,2020,2021,93,ART DIRECTION,Mark Ricker/Karen O'Hara/Diana Stoughton,False
60,1321,2020,2021,93,BEST PICTURE,Bert Hamelinck/Sacha Ben Harroche,False
61,1582,2020,2021,93,MAKEUP AND HAIRSTYLING,Sergio Lopez-Rivera/Mia Neal/Jamika Wilson,True
62,1166,2018,2019,91,VISUAL EFFECTS,Dan DeLeeuw/Kelly Port/Russell Earl/Dan Sudick,False
63,37,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Kathy Bates,False
64,1518,2019,2020,92,ACTRESS IN A LEADING ROLE,Saoirse Ronan,False
65,783,2019,2020,92,ACTRESS IN A LEADING ROLE,Scarlett Johansson,False
66,1219,2019,2020,92,ACTRESS IN A LEADING ROLE,Cynthia Erivo,False
67,986,2019,2020,92,ACTOR IN A SUPPORTING ROLE,Joe Pesci,False
68,986,2019,2020,92,ACTOR IN A SUPPORTING ROLE,Al Pacino,False
69,18,2019,2020,92,ACTOR IN A SUPPORTING ROLE,Tom Hanks,False
70,783,2019,2020,92,ACTOR IN A LEADING ROLE,Adam Driver,False
71,690,2019,2020,92,ACTOR IN A LEADING ROLE,Antonio Banderas,False
72,1514,2018,2019,91,WRITING (Original Screenplay),Alfonso Cuarón,False
73,604,2018,2019,91,WRITING (Original Screenplay),Nick Vallelonga/Brian Currie/Peter Farrelly,True
74,177,2018,2019,91,WRITING (Original Screenplay),Paul Schrader,False
75,614,2018,2019,91,WRITING (Original Screenplay),Deborah Davis/Tony McNamara,False
76,606,2018,2019,91,WRITING (Adapted Screenplay),Nicole Holofcener/Jeff Whitty,False
77,668,2015,2016,88,MAKEUP AND HAIRSTYLING,Lesley Vanderwalt/Elka Wardega/Damian Martin,True
78,783,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Laura Dern,True
79,1514,2018,2019,91,SOUND MIXING,Skip Lievsay/Craig Henighan/José Antonio García,False
80,464,2018,2019,91,SOUND MIXING,Steve Boeddeker/Brandon Proctor/Peter Devlin,False
81,1514,2018,2019,91,SOUND EDITING,Sergio Díaz/Skip Lievsay,False
82,266,2018,2019,91,SOUND EDITING,Ethan Van der Ryn/Erik Aadahl,False
83,464,2018,2019,91,SOUND EDITING,Benjamin A. Burtt/Steve Boeddeker,False
84,1514,2018,2019,91,ART DIRECTION,Eugenio Caballero/Bárbara Enríquez,False
85,614,2018,2019,91,ART DIRECTION,Fiona Crombie/Alice Felton,False
86,464,2018,2019,91,ART DIRECTION,Hannah Beachler/Jay Hart,True
87,1514,2018,2019,91,BEST PICTURE,Gabriela Rodríguez/Alfonso Cuarón,False
88,604,2018,2019,91,BEST PICTURE,Jim Burke/Charles B. Wessler/Brian Currie/Peter Farrelly/Nick Vallelonga,True
89,614,2018,2019,91,BEST PICTURE,Ceci Dempsey/Ed Guiney/Lee Magiday/Yorgos Lanthimos,False
90,810,2018,2019,91,BEST PICTURE,Sean McKittrick/Jason Blum/Raymond Mansfield/Jordan Peele/Spike Lee,False
91,464,2018,2019,91,BEST PICTURE,Kevin Feige,False
92,1299,2018,2019,91,MUSIC (Original Song),Diane Warren,False
93,434,2019,2020,92,DOCUMENTARY (Feature),Ljubo Stefanov/Tamara Kotevska/Atanas Georgiev,False
94,1161,2019,2020,92,BEST PICTURE,Peter Chernin/Jenno Topping/James Mangold,False
95,1219,2019,2020,92,MUSIC (Original Song),Joshuah Brian Campbell/Cynthia Erivo,False
96,999,2019,2020,92,MUSIC (Original Song),Kristen Anderson-Lopez/Robert Lopez,False
97,1341,2019,2020,92,MUSIC (Original Song),Randy Newman,False
98,783,2019,2020,92,MUSIC (Original Score),Randy Newman,False
99,1518,2019,2020,92,MUSIC (Original Score),Alexandre Desplat,False
100,1237,2019,2020,92,MAKEUP AND HAIRSTYLING,Paul Gooch/Arjen Tuiten/David White,False
101,566,2019,2020,92,INTERNATIONAL FEATURE FILM,South Korea,True
102,690,2019,2020,92,INTERNATIONAL FEATURE FILM,Spain,False
103,434,2019,2020,92,INTERNATIONAL FEATURE FILM,North Macedonia,False
104,566,2019,2020,92,FILM EDITING,Yang Jinmo,False
105,534,2019,2020,92,FILM EDITING,Tom Eagles,False
106,986,2019,2020,92,FILM EDITING,Thelma Schoonmaker,False
107,1161,2019,2020,92,FILM EDITING,Michael McCusker/Andrew Buckland,True
108,3,2021,2022,94,COSTUME DESIGN,Paul Tazewell,False
109,1483,2019,2020,92,DOCUMENTARY (Feature),Waad al-Kateab/Edward Watts,False
110,4,2019,2020,92,DOCUMENTARY (Feature),Petra Costa/Joanna Natasegara/Shane Boris/Tiago Pavan,False
111,902,2019,2020,92,DOCUMENTARY (Feature),Steven Bognar/Julia Reichert/Jeff Reichert,True
112,566,2019,2020,92,DIRECTING,Bong Joon Ho,True
113,986,2019,2020,92,DIRECTING,Martin Scorsese,False
114,1518,2019,2020,92,COSTUME DESIGN,Jacqueline Durran,True
115,534,2019,2020,92,COSTUME DESIGN,Mayes C. Rubeo,False
116,986,2019,2020,92,COSTUME DESIGN,Sandy Powell/Christopher Peterson,False
117,986,2019,2020,92,CINEMATOGRAPHY,Rodrigo Prieto,False
118,1341,2019,2020,92,ANIMATED FEATURE FILM,Josh Cooley/Mark Nielsen/Jonas Rivera,True
119,919,2019,2020,92,ANIMATED FEATURE FILM,Sergio Pablos/Jinko Gotoh/Marisa Román,False
120,154,2019,2020,92,ANIMATED FEATURE FILM,Jérémy Clapin/Marc du Pontavice,False
121,1518,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Florence Pugh,False
122,534,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Scarlett Johansson,False
123,1069,2022,2023,95,DIRECTING,Todd Field,False
124,449,2022,2023,95,MAKEUP AND HAIRSTYLING,Mark Coulier/Jason Baird/Aldo Signoretti,False
125,717,2022,2023,95,MAKEUP AND HAIRSTYLING,Camille Friend/Joel Harlow,False
126,317,2022,2023,95,INTERNATIONAL FEATURE FILM,Ireland,False
127,547,2022,2023,95,INTERNATIONAL FEATURE FILM,Poland,False
128,373,2022,2023,95,INTERNATIONAL FEATURE FILM,Belgium,False
129,1226,2022,2023,95,INTERNATIONAL FEATURE FILM,Argentina,False
130,794,2022,2023,95,FILM EDITING,Eddie Hamilton,False
131,1069,2022,2023,95,FILM EDITING,Monika Willi,False
132,403,2022,2023,95,FILM EDITING,Paul Rogers,True
133,449,2022,2023,95,FILM EDITING,Matt Villa/Jonathan Redmond,False
134,922,2022,2023,95,FILM EDITING,Mikkel E.G. Nielsen,False
135,929,2022,2023,95,DOCUMENTARY (Feature),Daniel Roher/Odessa Rae/Diane Becker/Melanie Miller/Shane Boris,True
136,874,2022,2023,95,DOCUMENTARY (Feature),Sara Dosa/Shane Boris/Ina Fichman,False
137,78,2022,2023,95,DOCUMENTARY (Feature),Laura Poitras/Howard Gertler/John Lyons/Nan Goldin/Yoni Golijov,False
138,766,2022,2023,95,DOCUMENTARY (Feature),Shaunak Sen/Aman Mann/Teddy Leifer,False
139,1105,2022,2023,95,MAKEUP AND HAIRSTYLING,Adrien Morot/Judy Chin/Annemarie Bradley,True
140,438,2022,2023,95,DIRECTING,Steven Spielberg,False
141,403,2022,2023,95,DIRECTING,Daniel Kwan/Daniel Scheinert,True
142,922,2022,2023,95,DIRECTING,Martin McDonagh,False
143,860,2022,2023,95,COSTUME DESIGN,Jenny Beavan,False
144,403,2022,2023,95,COSTUME DESIGN,Shirley Kurata,False
145,449,2022,2023,95,COSTUME DESIGN,Catherine Martin,False
146,717,2022,2023,95,COSTUME DESIGN,Ruth Carter,True
147,1069,2022,2023,95,CINEMATOGRAPHY,Florian Hoffmeister,False
148,449,2022,2023,95,CINEMATOGRAPHY,Mandy Walker,False
149,1487,2022,2023,95,ANIMATED FEATURE FILM,Chris Williams/Jed Schlanger,False
150,828,2022,2023,95,ANIMATED FEATURE FILM,Joel Crawford/Mark Swift,False
151,680,2022,2023,95,ANIMATED FEATURE FILM,Dean Fleischer Camp/Elisabeth Holm/Andrew Goldman/Caroline Kaplan/Paul Mezey,False
152,344,2022,2023,95,ANIMATED FEATURE FILM,Guillermo del Toro/Mark Gustafson/Gary Ungar/Alex Bulkley,True
153,403,2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Stephanie Hsu,False
154,959,2022,2023,95,ART DIRECTION,Dylan Cole/Ben Procter/Vanessa Cole,False
155,959,2022,2023,95,BEST PICTURE,James Cameron/Jon Landau,False
156,668,2015,2016,88,CINEMATOGRAPHY,John Seale,False
157,794,2022,2023,95,VISUAL EFFECTS,Ryan Tudhope/Seth Hill/Bryan Litson/Scott R. Fisher,False
158,608,2015,2016,88,ACTOR IN A LEADING ROLE,Matt Damon,False
159,1069,2022,2023,95,WRITING (Original Screenplay),Todd Field,False
160,438,2022,2023,95,WRITING (Original Screenplay),Steven Spielberg/Tony Kushner,False
161,134,2022,2023,95,WRITING (Adapted Screenplay),Rian Johnson,False
162,717,2022,2023,95,VISUAL EFFECTS,Geoffrey Baumann/Craig Hammack/R. Christopher White/Dan Sudick,False
163,959,2022,2023,95,VISUAL EFFECTS,Joe Letteri/Richard Baneham/Eric Saindon/Daniel Barrett,True
164,794,2022,2023,95,SOUND MIXING,Mark Weingarten/James H. Mather/Al Nelson/Chris Burdon/Mark Taylor,True
165,449,2022,2023,95,SOUND MIXING,David Lee/Wayne Pashley/Andy Nelson/Michael Keller,False
166,959,2022,2023,95,SOUND MIXING,Julian Howarth/Gwendolyn Yates Whittle/Dick Bernstein/Christopher Boyes/Gary Summers/Michael Hedges,False
167,438,2022,2023,95,ART DIRECTION,Rick Carter/Karen O'Hara,False
168,449,2022,2023,95,ART DIRECTION,Catherine Martin/Karen Murphy/Bev Dunn,False
169,403,2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis,True
170,794,2022,2023,95,BEST PICTURE,Tom Cruise/Christopher McQuarrie/David Ellison/Jerry Bruckheimer,False
171,1069,2022,2023,95,BEST PICTURE,Todd Field/Alexandra Milchan/Scott Lambert,False
172,438,2022,2023,95,BEST PICTURE,Kristie Macosko Krieger/Steven Spielberg/Tony Kushner,False
173,403,2022,2023,95,BEST PICTURE,Daniel Kwan/Daniel Scheinert/Jonathan Wang,True
174,449,2022,2023,95,BEST PICTURE,Baz Luhrmann/Catherine Martin/Gail Berman/Patrick McCormick/Schuyler Weiss,False
175,922,2022,2023,95,BEST PICTURE,Graham Broadbent/Pete Czernin/Martin McDonagh,False
176,922,2022,2023,95,WRITING (Original Screenplay),Martin McDonagh,False
177,403,2022,2023,95,MUSIC (Original Song),Ryan Lott/David Byrne/Mitski,False
178,452,2022,2023,95,MUSIC (Original Song),M.M. Keeravaani/Chandrabose,True
179,717,2022,2023,95,MUSIC (Original Song),Tems/Rihanna/Ryan Coogler/Ludwig Goransson,False
180,794,2022,2023,95,MUSIC (Original Song),Lady Gaga/BloodPop,False
181,438,2022,2023,95,MUSIC (Original Score),John Williams,False
182,403,2022,2023,95,MUSIC (Original Score),Son Lux,False
183,922,2022,2023,95,MUSIC (Original Score),Carter Burwell,False
184,1242,2021,2022,94,MUSIC (Original Score),Germaine Franco,False
185,480,2021,2022,94,ART DIRECTION,Stefan Dechant/Nancy Haigh,False
186,1082,2021,2022,94,ART DIRECTION,Grant Major/Amber Richards,False
187,3,2021,2022,94,BEST PICTURE,Steven Spielberg/Kristie Macosko Krieger,False
188,1082,2021,2022,94,BEST PICTURE,Jane Campion/Tanya Seghatchian/Emile Sherman/Iain Canning/Roger Frappier,False
189,345,2021,2022,94,BEST PICTURE,Sara Murphy/Adam Somner/Paul Thomas Anderson,False
190,167,2021,2022,94,BEST PICTURE,Tim White/Trevor White/Will Smith,False
191,40,2021,2022,94,BEST PICTURE,Teruhisa Yamamoto,False
192,1428,2021,2022,94,BEST PICTURE,Philippe Rousselet/Fabrice Gianfermi/Patrick Wachsberger,True
193,369,2021,2022,94,BEST PICTURE,Laura Berwick/Kenneth Branagh/Becca Kovacik/Tamar Thomas,False
194,369,2021,2022,94,MUSIC (Original Song),Van Morrison,False
195,1242,2021,2022,94,MUSIC (Original Song),Lin-Manuel Miranda,False
196,167,2021,2022,94,MUSIC (Original Song),DIXSON/Beyoncé Knowles-Carter,False
197,1082,2021,2022,94,MUSIC (Original Score),Jonny Greenwood,False
198,849,2021,2022,94,MUSIC (Original Score),Alberto Iglesias,False
199,3,2021,2022,94,ART DIRECTION,Adam Stockhausen/Rena DeAngelo,False
200,1366,2021,2022,94,MAKEUP AND HAIRSTYLING,Nadia Stacey/Naomi Donne/Julia Vernon,False
201,56,2021,2022,94,INTERNATIONAL FEATURE FILM,Denmark,False
202,40,2021,2022,94,INTERNATIONAL FEATURE FILM,Japan,True
203,1082,2021,2022,94,FILM EDITING,Peter Sciberras,False
204,167,2021,2022,94,FILM EDITING,Pamela Martin,False
205,527,2021,2022,94,DOCUMENTARY (Feature),Rintu Thomas/Sushmit Ghosh,False
206,1052,2021,2022,94,DOCUMENTARY (Feature),"Ahmir ""Questlove"" Thompson/Joseph Patel/Robert Fyvolent/David Dinerstein",True
207,56,2021,2022,94,DOCUMENTARY (Feature),Jonas Poher Rasmussen/Monica Hellström/Signe Byrge Sørensen/Charlotte De La Gournerie,False
208,545,2021,2022,94,DOCUMENTARY (Feature),Jessica Kingdon/Kira Simon-Kennedy/Nathan Truesdell,False
209,3,2021,2022,94,DIRECTING,Steven Spielberg,False
210,1082,2021,2022,94,DIRECTING,Jane Campion,True
211,345,2021,2022,94,DIRECTING,Paul Thomas Anderson,False
212,40,2021,2022,94,DIRECTING,Ryusuke Hamaguchi,False
213,369,2021,2022,94,DIRECTING,Kenneth Branagh,False
214,922,2022,2023,95,ACTOR IN A LEADING ROLE,Colin Farrell,False
215,922,2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Kerry Condon,False
216,1105,2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Hong Chau,False
217,717,2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Angela Bassett,False
218,403,2022,2023,95,ACTRESS IN A LEADING ROLE,Michelle Yeoh,True
219,438,2022,2023,95,ACTRESS IN A LEADING ROLE,Michelle Williams,False
220,743,2022,2023,95,ACTRESS IN A LEADING ROLE,Andrea Riseborough,False
221,1069,2022,2023,95,ACTRESS IN A LEADING ROLE,Cate Blanchett,False
222,403,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,True
223,922,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Barry Keoghan,False
224,438,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,False
225,922,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Brendan Gleeson,False
226,1232,2022,2023,95,ACTOR IN A LEADING ROLE,Bill Nighy,False
227,1049,2022,2023,95,ACTOR IN A LEADING ROLE,Paul Mescal,False
228,1105,2022,2023,95,ACTOR IN A LEADING ROLE,Brendan Fraser,True
229,810,2018,2019,91,WRITING (Adapted Screenplay),Charlie Wachtel/David Rabinowitz/Kevin Willmott/Spike Lee,True
230,449,2022,2023,95,ACTOR IN A LEADING ROLE,Austin Butler,False
231,345,2021,2022,94,WRITING (Original Screenplay),Paul Thomas Anderson,False
232,167,2021,2022,94,WRITING (Original Screenplay),Zach Baylin,False
233,369,2021,2022,94,WRITING (Original Screenplay),Kenneth Branagh,True
234,1082,2021,2022,94,WRITING (Adapted Screenplay),Jane Campion,False
235,1330,2021,2022,94,WRITING (Adapted Screenplay),Maggie Gyllenhaal,False
236,40,2021,2022,94,WRITING (Adapted Screenplay),Ryusuke Hamaguchi/Takamasa Oe,False
237,1428,2021,2022,94,WRITING (Adapted Screenplay),Siân Heder,True
238,1599,2021,2022,94,VISUAL EFFECTS,Kelly Port/Chris Waegner/Scott Edelstein/Dan Sudick,False
239,354,2021,2022,94,VISUAL EFFECTS,Christopher Townsend/Joe Farrell/Sean Noel Walker/Dan Oliver,False
240,1145,2021,2022,94,VISUAL EFFECTS,Swen Gillberg/Bryan Grill/Nikos Kalaitzidis/Dan Sudick,False
241,3,2021,2022,94,SOUND MIXING,Tod A. Maitland/Gary Rydstrom/Brian Chumney/Andy Nelson/Shawn Murphy,False
242,1082,2021,2022,94,SOUND MIXING,Richard Flynn/Robert Mackenzie/Tara Webb,False
243,369,2021,2022,94,SOUND MIXING,Denise Yarde/Simon Chase/James Mather/Niv Adiri,False
244,1418,2016,2017,89,DIRECTING,Denis Villeneuve,False
245,61,2016,2017,89,MUSIC (Original Score),Justin Hurwitz,True
246,445,2016,2017,89,MAKEUP AND HAIRSTYLING,Eva von Bahr/Love Larson,False
247,193,2016,2017,89,INTERNATIONAL FEATURE FILM,Germany,False
248,445,2016,2017,89,INTERNATIONAL FEATURE FILM,Sweden,False
249,662,2016,2017,89,FILM EDITING,Nat Sanders/Joi McMillon,False
250,61,2016,2017,89,FILM EDITING,Tom Cross,False
251,1540,2016,2017,89,FILM EDITING,Jake Roberts,False
252,626,2016,2017,89,FILM EDITING,John Gilbert,True
253,1418,2016,2017,89,FILM EDITING,Joe Walker,False
254,232,2016,2017,89,DOCUMENTARY (Feature),Roger Ross Williams/Julie Goldman,False
255,21,2016,2017,89,DOCUMENTARY (Feature),Gianfranco Rosi/Donatella Palermo,False
